1,1.1,"ჩეშირის კატა
"
2,2,"დიოგენე სინოპელი
"
3,3,"აღმოსავლეთის აღმოსავლეთის ექსპრესი
"
4,4,"დედოფალი ვიქტორიას მკურნალი ექიმი
"
5,5,"ოდესა
"
6,6,"არნოლდ შვარცენეგერის
"
7,7,"ტატუზე თარიღი წერია რომაული ციფრებით
"
8,8,"ალფრედ ნობელს
"
9,9,"ჰეგზამეტრი
"
10,10,"რედბულიმია
"
11,11,"დარვინი
"
12,12,"ნეკერჩხლის ფოთლები
"
13,13,"ტელევიზორის პულტის
"
14,14,"დრაკონული კანონი
"
15,15,"თომას მორი
"
16,16,"მარიამი, იესო, იოსები
"
17,17,"პიერ რიშარი
"
18,18,"მოსკოვი
"
19,19,"გრიფები
"
20,20,"იეროგლიფი
"
21,21,"კურილის კუნძულები
"
22,22,"მზის ლაქები
"
23,23,"ლაილა
"
24,24,"ბიბლია
"
25,25,"აირანმენი
"
26,26,"უხილავი ხელი
"
27,27,"ტუვე იანსონი
"
28,28,"შეიმოსა ყვითელი მაისურით
"
29,29,"ბაბა-იაგა
"
30,30,"ოქროს ტოტი
"
31,31,"ჩექმებიანი კატა
"
32,32,"ადამ სმიტი
"
33,33,"ულვაშები მოიპარსეს
"
34,34,"აღმოსავლეთის ქარი
"
35,35,"ფოსფორი
"
36,36,"მონღოლეთი
"
37,37,"რძეს ნაღებს ხდიდა
"
38,38,"ფუთი მარილი
"
39,39,"ჯორჯ ორუელი
"
40,40,"დააცემინა
"
41,41,"ფარდობითობის თეორია
"
42,42,"რობინ ჰუდი
"
43,43,"ვირჯილიო
"
44,44,"ოქროს ხბო
"
45,45,"კატარსტროფა
"
46,46,"ნილ არმსტრონგს
"
47,47,"შვეიცარია
"
48,48,"საკუთარი მუხლები
"
49,49,"მარქსი და ენგელსი
"
50,50,"ემირ კუსტურიცა
"
51,51,"ფენ-შუის სპეციალისტი
"
52,52,"დალტონი
"
53,53,"წითელი ცხენი
"
54,54,"ავერსი, რევერსი
"
55,55,"პარკინსონი
"
56,56,"My love
"
57,57,"Army of lovers
"
58,58,"ტიუსოს ცვილის ფიგურების მუზეუმში
"
59,59,"ციხე-სიმაგრე
"
60,60,"Smoke on the daughter
"
61,61,"მაკბეტი
"
62,62,"დედაქალაქი
"
63,63,"ლუსი
"
64,64,"მხატვარი
"
65,65,"წამწამების ტუში და ცრემლები
"
